Authors,Year,Title,doi,Sample Size,Population Characteristics,Technology Used,Stress Type,Measures,Study Design
"Alshanskaia EI, Zhozhikashvili NA, Polikanova IS, Martynova OV.",2024,Heart rate response to cognitive load as a marker of depression and increased anxiety,10.3389/fpsyt.2024.1355846,90,"Aged 18 to 45 years, including both symptom-free individuals and those with diverse psychological conditions.",Cognitive stress induced by increasing task load.,"Electrocardiogram (ECG), photoplethysmogram (PPG).",Heart rate (measured by PPG and ECG). Psychological questionnaires and anamnesis.,Observational study
"Merrigan JJ, Klatt M, Quatman-Yates C, Emerson A, Kronenberg J, Orr M, Caputo J, Daniel K, Summers R, Mulugeta Y, Steinberg B, Hagen JA.",2024,Incorporating biofeedback into the Mindfulness in Motion Intervention for health care professionals: Impact on sleep and stress,10.1016/j.explore.2024.103022,66,Health care providers (HCP) experiencing high stress and burnout.,,Perceived stress and mood disturbances.,"Heart rate variability (HRV), sleep metrics (e.g., time in bed). Daily stress and mood disturbances surveys, perceived stress scales.",Observational study
Using Heart Rate Variability to Assess Nurses' Stress During the COVID-19 Pandemic,2024,"Krieger H, Rhein C, Morawa E, Adler W, Steffan J, Lang-Richter N, Struck M, Erim Y, Lieb M.",10.1177/01939459241252078,41,German nurses during the COVID-19 pandemic.,"Wearable Devices: Measurement of heart rate variability (specific device not mentioned).
mHealth Applications: Online questionnaire assessing working conditions, COVID-19-related problems, and psychological measures.","Perceived stress, physical stress, and emotional stress.","Biomarkers: Heart rate variability (HRV).
Self-Report Tools: Patient Health Questionnaire-9 (PHQ-9), Generalized Anxiety Disorder-7 (GAD-7), effort-reward imbalance, work-family conflict, and perceived stress levels.",Observational study.
Perceived stress and posttraumatic growth in caregivers of pediatric burn patients undergoing mHealth-enhanced outpatient burn care: A pilot study,2024,"Gavrilova Y, Rooney E, Lesher A.",10.1016/j.burns.2024.03.031,15,"Caregivers of pediatric burn patients (children aged 0–18 years; mean caregiver age = 35.5 years, SD = 6.7).","mHealth Application: TOBI, a burn app providing tutorials, FAQs, remote communication with providers, and image transfer for outpatient burn care.","Perceived stress (elevated stress during treatment phase and over the past 30 days).
Posttraumatic growth (domains include personal strength, appreciation of life, etc.)","Biomarkers: None.
Self-Report Tools:
Perceived Stress Scale (PSS): Administered for two timeframes (past 30 days and during treatment phase).
Posttraumatic Growth Inventory (PTGI): Assesses domains of growth, e.g., personal strength, appreciation of life.","Pilot study, cross-sectional design"
"Pathipati MP, Scott LL, Griser AC, Staller K.",2024,Real-world outcomes for a digital prescription mobile application for adults with irritable bowel syndrome,10.1111/nmo.14811,843,"Adults aged ≥22 years with irritable bowel syndrome (IBS); median age 41 years. Most common IBS subtype: IBS-mixed (23%), followed by IBS-C (20%) and IBS-D (19%).","mHealth Application: Mahana™ IBS, a prescription mobile application delivering 3 months of gut-directed cognitive behavioral therapy (CBT).",Perceived stress measured using the Perceived Stress Scale (PSS).,"Biomarkers: IBS Symptom Severity Score (IBS-SSS).
Self-Report Tools: Perceived Stress Scale (PSS).",Observational study
"Vidal Bustamante CM, Coombs Iii G, Rahimi-Eichi H, Mair P, Onnela JP, Baker JT, Buckner RL.",2024,Precision Assessment of Real-World Associations Between Stress and Sleep Duration Using Actigraphy Data Collected Continuously for an Academic Year: Individual-Level Modeling Study,10.2196/53441,55,College students transitioning to university life; median usable daily observations per participant: 178 (IQR 65.5).,"Wearable Devices: Actigraphy wristband for daily sleep duration estimation.
mHealth Applications: Smartphone app for daily self-reports of perceived stress",Perceived stress (self-reported daily via smartphone app).,"Biomarkers: Sleep duration (objective).
Self-Report Tools: Perceived stress (daily self-reported via app), subjective sleep quality.",Observational study
"Zulbaran-Rojas A, Rouzi MD, Zahiri M, Ouattas A, Walter CM, Nguyen H, Bidadi S, Najafi B, Lemole GM.",2024,Objective assessment of postural ergonomics in neurosurgery: integrating wearable technology in the operating room,10.3171/2024.1.SPINE231001,10,"Neurosurgeons, including 5 attendings (faculty) and 5 trainees (1 fellow, 4 residents).",Wearable Devices: Two wearable sensors attached to the back of the head and upper back.,Physical stress associated with static posture during prolonged surgical procedures.,"Biomarkers: Postural data (extended, neutral, and flexed static postures).
Self-Report Tools: Postoperative self-assessment surveys (e.g., perceived stress, relaxation, stiffness, pain).",Pilot study
"Boucher EM, Ward H, Miles CJ, Henry RD, Stoeckl SE.",2024,Effects of a Digital Mental Health Intervention on Perceived Stress and Rumination in Adolescents Aged 13 to 17 Years: Randomized Controlled Trial,10.2196/54282,303,"Adolescents aged 13 to 17 years with elevated levels of perceived stress and brooding.
","mHealth Applications: Happify for Teens: A self-guided digital mental health intervention (DMHI) incorporating cognitive behavioral therapy, positive psychology, and mindfulness activities.
","Perceived stress and rumination (brooding).
","Self-Report Tools: Perceived Stress Scale (PSS). Additional measures for brooding, optimism, sleep disturbance, and loneliness
",Randomized Controlled Trial
"Rubin M, Fischer CM, Telch MJ.",2024,Efficacy of a single session mindfulness based intervention: A randomized clinical trial,10.1371/journal.pone.0299300,91,Adults,"mHealth Application: One-hour telehealth mindfulness-only intervention; one-hour telehealth mindfulness and compassion intervention; one-week waitlist control (followed by active intervention).
",Perceived stress.,"Self-report tools: Perceived Stress Scale (PSS), self-reported measures for anxiety, depression, and loneliness
",Pre-registered randomized clinical trial 
"Lee E, Hong JK, Choi H, Yoon IY.",2024,"Modest Effects of Neurofeedback-Assisted Meditation Using a Wearable Device on Stress Reduction: A Randomized, Double-Blind, and Controlled Study",10.3346/jkms.2024.39.e94,38,"Adults with psychological stress, depression, or sleep disturbances; 68.4% female overall; average age ~49 years.","Wearable Device: Neurofeedback wearable device.
mHealth Application: Neurofeedback-assisted meditation.",Psychological stress.,"Biomarkers: Quantitative electroencephalography (qEEG), blood tests for stress hormones.
Self-Report Tools: Korean version of the Perceived Stress Scale (PSS), Beck Depression Inventory-II, Insomnia Severity Index, Pittsburgh Sleep Quality Index, State Trait Anxiety Index","Randomized, double-blind, controlled trial (RCT)"
"Demirel S, Roke Y, Hoogendoorn AW, Hoefakker J, Hoeberichts K, van Harten PN.",2024,"Assessing the Effectiveness of STAPP@Work, a Self-Management Mobile App, in Reducing Work Stress and Preventing Burnout: Single-Case Experimental Design Study",10.2196/48883,63,Mental health employees without a known diagnosis of burnout.,mHealth Applications: Mobile-based stress management intervention (STAPP@Work).,Perceived stress and work-related stress.,"Self-Report Tools: Perceived Stress Scale (PSS), Coping Self-Efficacy Scale, Burnout Assessment Tool.",Single-case experimental design with a reversal design component.
Development and Evaluation of a Smartphone-Based Chatbot Coach to Facilitate a Balanced Lifestyle in Individuals With Headaches (BalanceUP App): Randomized Controlled Trial,2024,"Ulrich S, Gantenbein AR, Zuber V, Von Wyl A, Kowatsch T, Künzli H.",10.2196/50132,198,Mean age: 38.7 years (SD 12.14) Gender: 86.9% women,mHealth Applications: BalanceUP (smartphone-based coaching intervention delivered by a conversational agent),Perceived stress,"Self-Report Tools: Patient Health Questionnaire Anxiety and Depression Scale (PHQ-ADS), psychosomatic symptoms, perceived stress, headache-related self-efficacy, behavior change intention, presenteeism, absenteeism, pain coping.",Randomized Controlled Trial (RCT)
"Goldstein E, Merrick JS, Edwards RC, Zhang Y, Sinche B, Raven J, Krislov S, Robledo D, Brown RL, Moskowitz JT, Tandon SD, Wakschlag LS.",2024,Personalized Mobile Health-Enhanced Cognitive Behavioral Intervention for Maternal Distress: Examining the Moderating Role of Adverse Childhood Experiences,10.7812/TPP/23.094,100,"Pregnant individuals aged ≥ 18 years, < 22 weeks’ gestation, English-speaking, recruited from 6 university-affiliated prenatal clinics.
",mHealth Application: Cognitive Behavioral Intervention (Mothers and Babies Personalized; MB-P).,"Perceived stress and depressive symptoms (related to adverse childhood experiences and perinatal mental health)
","Self-Report Tools: Perinatal mental health outcomes (depressive symptoms, perceived stress), negative mood regulation
","Randomized Controlled Trial (RCT)
"
"Zavanelli N, Lee SH, Guess M, Yeo WH.",2024,Continuous real-time assessment of acute cognitive stress from cardiac mechanical signals captured by a skin-like patch,10.1016/j.bios.2023.115983,14,"Healthy volunteers aged 18 to 40 years, study conducted under approved IRB protocol (#H20204) at the Georgia Institute of Technology.","Wearable Devices: Skin-like wireless sternal patch capturing cardiac mechanics (seismocardiogram, SCG) signals.
mHealth Application: Custom Android application designed for data transmission and real-time stress assessment.","Cognitive stress
","Biomarkers: Salivary cortisol levels, SCG morphology, HRV LF/HF.","Controlled experimental study using the Montreal Imaging Serial Test (MIST) protocol.
"
"Udhayakumar R, Rahman S, Gopakumar S, Karmakar C.",2023,Nonlinear Features from Multi-Modal Signals for Continuous Stress Monitoring,10.1109/EMBC40787.2023.10340715,20,Healthy adults ,"Wearable Devices: Signals from wearable devices (e.g., smartwatches), specifically heart rate, ectodermal activity, body temperature, SpO2, and acceleration","Physical stress, Cognitive stress, Emotional stress, and Relaxation state.","Biomarkers: Heart rate, ectodermal activity, body temperature, SpO2, and acceleration.",Model development using machine learning (Logistic Regression and Random Forest) with 10-fold cross-validation.
"Sadhu S, Solanki D, Brick LA, Nugent NR, Mankodiya K.",2023,Designing a Clinician-Centered Wearable Data Dashboard (CarePortal): Participatory Design Study,10.2196/46866,116,Adolescents who experienced trauma.,"Wearable Device: Microsoft Band (measuring heart rate and HR variability).
mHealth Application: CarePortal dashboard for visualizing wearable sensor data.",Physiological stress.,"Biomarkers: Heart rate (HR) metrics (maximum, minimum, average, standard deviation), HR variability, HR-based activity levels.
Self-Report Tools: User Experience Questionnaire (UXQ)",Participatory design study involving workshops with clinicians and user experience evaluation.
"Vos G, Trinh K, Sarnyai Z, Rahimi Azghadi M.",2023,Ensemble machine learning model trained on a new synthesized dataset generalizes well for stress prediction using wearable devices,10.1016/j.jbi.2023.104556,299,"Data is sourced from six public datasets; specific demographic information (e.g., age, gender, occupation) is not provided in the abstract.","Wearable Devices: Utilized sensor biomarker data, including physiological measurements",Acute stress,"Biomarkers: Sensor biomarker data (e.g., heart rate, physiological signals; specific markers not detailed).
Self-Report Tools: Measures for perceived stress (specific tools like PSS not explicitly mentioned).",Exploratory Data Analysis
"Pastor-Idoate S, Mateos-Olivares M, Sobas EM, Marcos M, Toribio A, Pastor JC, Usategui Martín R.",2023,Short-Wavelength Light-Blocking Filters and Oral Melatonin Administration in Patients With Retinitis Pigmentosa: Protocol for a Randomized Controlled Trial,10.2196/49196,60,"Adults aged 18-65 years with moderate to severe retinitis pigmentosa (RP) and a grading severity scale score >1. Patients report high perceived stress, anxiety, and sleep disorders.",Wearable Device: Short-wavelength light (SWL)–blocking goggles to restrict exposure to wavelengths <480 nm.,Perceived stress and anxiety,"Biomarkers: Salivary and hair cortisol, α-amylase (sAA), and melatonin levels.
Self-Reported Tools: State-Trait Anxiety Inventory (STAI), Epworth Sleepiness Scale (ESS), Pittsburgh Sleep Quality Index (PSQI), and daily self-recorded sleep diaries",Feasibility randomized clinical controlled trial with 4 parallel groups
"Marciniak MA, Shanahan L, Myin-Germeys I, Veer IM, Yuen KSL, Binder H, Walter H, Hermans EJ, Kalisch R, Kleim B.",2024,Imager-A mobile health mental imagery-based ecological momentary intervention targeting reward sensitivity: A randomized controlled trial,10.1111/aphw.12505,95,"Age: Mean 21.5 years (SD: 2.3, range: 18–29); Gender: 80% female; Occupation: 100% students (92% Psychology majors)","mHealth Application: ""Imager"" app on SEMA3 platform Functions: Ecological Momentary Assessment (EMA), Mental Imagery Training (EMI), reminders, and evening reflection",Perceived stress,"Self-Report Tools: Beck Depression Inventory II (BDI-II), State–Trait Anxiety Inventory (STAI), Perceived Stress Scale (PSS)",Randomized Controlled Trial (RCT)
"Welsh JW, Sitar SI, Parks MJ, Patton SC, Braughton JE, Waller LA, Ngo QM.",2023,Association Between Clinician-Level Factors and Patient Outcomes in Virtual and In-Person Outpatient Treatment for Substance Use Disorders: Multilevel Analysis,10.2196/48701,1410,Patients treated in virtual intensive outpatient programs (VIOP) and in-person intensive outpatient programs (IOP); demographic covariates at the clinician level included gender.,mHealth Applications: Virtual intensive outpatient program (VIOP) services.,Perceived stress,"Self-Report Tools: Measures of perceived stress, empathy subscales (e.g., personal distress, perspective taking)",Observational study
"You J, Wen X, Liu L, Yin J, Ji JS.",2023,Biophilic classroom environments on stress and cognitive performance: A randomized crossover study in virtual reality (VR),10.1371/journal.pone.0291355,30,"Undergraduate Chinese students aged 18-30 years; approximately half female (16 participants); all in good self-reported health condition, free from hypertension and heart diseases, not undergoing stress recovery therapy.","Wearable Devices: Wearable biomonitoring sensors for physiological stress indicators (e.g., blood pressure (BP), heart rate (HR), heart rate variability (HRV), skin conductance level (SCL)).
mHealth Applications: Virtual Reality (VR) interventions using HTC VIVE CE headset with five virtual classroom scenes integrating biophilic elements",Acute stress; self-reported perceived stress.,"Biomarkers: BP, HR, HRV, SCL.
Self-Report Tools: Perceived stress levels rated on a scale of 1-5; connection with nature rated on a scale of 1-10.
Cognitive Function Tests: Verbal Backward Digit Span Task (attention restoration), Guilford’s Alternative Uses Test (creativity).",Randomized crossover study 
"Yaldiz CO, Buller MJ, Richardson KL, An S, Lin DJ, Satish A, Driver K, Atkinson E, Mesite T, King C, Bursey M, Galer M, Millard-Stafford M, Sawka MN, Medda A, Inan OT.",2023,Early Prediction of Impending Exertional Heat Stroke With Wearable Multimodal Sensing and Anomaly Detection,10.1109/JBHI.2023.3323014,478,"US Army Rangers and Combat Engineers, participating in 7-mile and 12-mile loaded rucksack timed marches.",Wearable multimodal sensors (heart rate monitors and triaxial accelerometry).,Physical stress (estimated metabolic rate) and physiological strain (heart rate).,Biomarkers: Heart rate and estimated metabolic rate.,Observational study
"Jordan EJ, Shih PC, Nelson EJ, Carter SJ, Schootman M, Prather AA, Yao X, Peters CD, Perry CSE.",2023,Ecological Momentary Assessment of Midlife Adults' Daily Stress: Protocol for the Stress Reports in Variable Environments (STRIVE) App Study,10.2196/51845,150,"Midlife adults (living in greater Indianapolis, Indiana), stratified by underrepresented minority groups (e.g., Black, American Indian, Hispanic, Native Pacific Islanders) and income levels (low, middle, and high income).",mHealth Application: STRIVE (Stress Reports in Variable Environments) ecological momentary assessment app.,"Daily stressors (perceived stress, contextualized by built and natural environments).","Self-Report Tools: STRIVE app (real-time data capture), modified Daily Inventory of Stressful Events tool (end-of-day recall).",Observational study
